rn,Astro.0,Astro.1,Astro.2,Astro.3,Astro.4,Ext.Amy.1,Ext.Amy.2,Ext.ClauPyr,Ext.Hpc.1,Ext.Hpc.2,Ext.Hpc.3,Ext.Hpc.4,Ext.L23,Ext.L25,Ext.L5.1,Ext.L5.2,Ext.L56,Ext.L6,Ext.L6B,Ext.Pir,Ext.Thal.1,Ext.Thal.2,Ext.Unk.3,Inh.1,Inh.2,Inh.3,Inh.4,Inh.5,Inh.6,Inh.Lamp5,Inh.Meis2.1,Inh.Meis2.2,Inh.Meis2.3,Inh.Meis2.4,Inh.Pvalb,Inh.Sst,Inh.Vip,LowQ.2,Micro,Nb.1,Nb.2,Oligo.1,Oligo.2,OPC.1,OPC.2,Unk.1,res_ss
Spotx36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.11860594738646e-33
Spotx37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464129471972506,0,0,0,0,0,0,0,0,0,0,0.535870528027493,0.00180933020626798
Spotx38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293627997040918,0,0,0,0,0,0,0.706372002959082,0.000657883402776648
Spotx39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246374512732873,0,0.753625487267127,0.00322288037241464
Spotx40,0,0,0,0,0.269277839999322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730722160000678,1.35191041289304e-05
Spotx41,0,0,0,0,0.247554299233684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225997684201466,0,0.250080731919523,0,0,0,0,0,0,0,0,0,0,0,0,0.276367284645327,0.00014458923925315
Spotx42,0,0,0,0.180520494708307,0.286032545564275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533446959727418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000476237439342915
Spotx43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210814258282161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789185741717839,3.96128129521983e-05
Spotx44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037109625520849
Spotx45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000502835207163901
Spotx46,0,0,0,0,0.265103752065999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734896247934001,0.00405070830362948
Spotx47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.71636155560474e-33
Spotx48,0,0,0,0,0,0,0,0,0.554193090804312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445806909195688,0,0,0,0,0,0,0.00708632999383564
Spotx49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18528178161327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81471821838673,6.46156604039393e-05
Spotx50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.13275231875663e-16
Spotx51,0,0,0,0,0.556073855201335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443926144798665,4.72544488419031e-05
Spotx52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295794555927961,0.704205444072039,0.000920738521491002
Spotx53,0,0,0,0,0,0,0,0,0,0,0.166515998551805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137326846082675,0,0.338560220534341,0.35759693483118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67327018997711e-34
Spotx54,0,0,0,0,0.455288270633265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544711729366736,0.00266075932467155
Spotx55,0,0,0,0,0.326811644879651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673188355120349,0.00200752033139927
Spotx56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000931685103268882
Spotx57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00111164265753904
Spotx58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313204674316365,0.686795325683635,0.000554884001045002
Spotx59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144114892456057,0,0,0,0,0,0.855885107543943,2.52392356227332e-05
Spotx60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229096628455275,0,0,0,0,0,0,0,0.770903371544725,3.84947964740992e-33
Spotx61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541263743444947,0,0,0,0,0,0,0,0,0,0.458736256555053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120665573551721
Spotx62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000461841807063605
Spotx63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19704761350786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802952386492141,0.000363362558556306
Spotx64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00133852266064379
Spotx65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000311373080111165
Spotx66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48577276059692,0,0,0.210777547836023,0,0,0,0,0,0,0.303449691567057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164231121342258
Spotx67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242225711942224,0,0,0,0,0,0,0.757774288057776,0.000429042455566532
Spotx68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00104456892343561
Spotx69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.31166374492012e-33
Spotx70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29468570149513,0.395914742685096,0.309399555819774,4.74260426692737e-06
Spotx71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22849565030995,0,0,0,0,0,0,0,0,0,0,0,0,0.77150434969005,0.00273683219132231
Spotx72,0,0,0,0,0.443160274563829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556839725436172,0.000821662161494948
Spotx73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000826739900710463
Spotx74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000211259829220268
Spotx75,0,0,0.341834275815853,0.152545468422777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193805406248693,0,0,0,0,0,0,0,0,0.311814849512677,7.22687725079626e-33
Spotx76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000760870752016489
Spotx77,0,0,0,0,0,0,0,0,0.314631896733575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685368103266425,0.00195844978082099
Spotx78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205055470087726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794944529912274,1.35198376402274e-33
Spotx79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294135608805011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301800891431892,0.404063499763096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999535688432915
Spotx80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273948250097977,0,0,0,0.219935495345683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506116254556341,0.000161860109562297
Spotx81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267124558593552,0,0,0,0,0,0,0.732875441406448,0.000438776480555313
Spotx82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522926478715272,0,0,0,0,0,0,0,0,0,0,0,0.477073521284728,8.22154598869969e-18
Spotx83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421361403452201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578638596547799,1.48830525589193e-07
Spotx84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380553430538688,0.619446569461312,9.75105031679641e-05
Spotx85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79039211779474e-33
Spotx86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39056876370744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609431236292561,7.17962697129783e-33
Spotx87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224869304108437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775130695891563,6.52005660588207e-34
Spotx88,0,0,0,0,0.248553604245898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751446395754102,0.00257612844209504
Spotx89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224637858221594,0,0,0,0,0,0,0,0,0,0,0.775362141778405,0.000738056894183045
Spotx90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000525560569948897
Spotx91,0,0,0,0,0,0,0.192103124192848,0,0,0,0,0,0.313205494529377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494691381277775,0.000358145195310261
Spotx92,0,0,0.206671695531551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793328304468449,0.000166547819950016
Spotx93,0,0,0,0,0.342608105767613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475821474035652,0,0,0,0,0,0,0.181570420196735,0.00178013413828928
Spotx94,0,0,0,0,0,0,0,0,0,0,0.459834081362595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540165918637405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028820546725369
Spotx95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.53230489225693e-33
Spotx96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396925763620722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324501683035687,0,0,0,0,0,0,0,0,0.27857255334359,0,0,6.78773645574405e-33
Spotx97,0,0,0,0,0.344087244659281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655912755340719,4.58402145057289e-05
Spotx98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246034783603224,0,0,0,0,0,0,0,0,0,0,0,0,0.250307578843744,0,0,0,0,0,0,0.503657637553033,0.00277244849739452
Spotx99,0,0,0,0,0.192002208541424,0.294060355811089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195898270396359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318039165251129,0.00103779113869602
Spotx100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194181516267126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805818483732874,0.000350193415094847
Spotx101,0,0,0.18983260004961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81016739995039,0.00340566544841142
Spotx102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.95243065058e-33
Spotx103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441473177336054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558526822663946,0.000265436036175819
Spotx104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.50836125351664e-33
Spotx105,0,0.161721425318094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838278574681906,0.00163151254949956
Spotx106,0,0,0.214805696784803,0,0.304151827567955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204405897937012,0,0,0,0,0,0,0,0,0,0,0,0,0.276636577710229,0.00324596618307953
Spotx107,0,0,0,0,0.493234954801272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506765045198728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022085229168608
Spotx108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576441166206321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423558833793679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253653226766272
Spotx109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.20801057759688e-33
Spotx110,0,0,0,0,0.284510914284548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264179352189549,0,0,0,0,0,0,0,0,0,0,0,0,0.451309733525903,0.002303609901564
Spotx111,0,0,0,0,0.57807174516236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421928254837641,0,0,0,0,0,0,0,0.00242272078406524
Spotx112,0,0,0,0,0.225835572496606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402750371355925,0,0,0,0,0.203946127176829,0.16746792897064,0,0,0,0,0,0,0,0,0,1.36311340636063e-06
