	logits
ENSMUSG00000034656	-0.50533277
ENSMUSG00000093383	0.092645995
ENSMUSG00000047495	-0.05289145
ENSMUSG00000035653	0.16273561
ENSMUSG00000096914	2.1481514
ENSMUSG00000023868	1.0318774
ENSMUSG00000028033	1.2869484
ENSMUSG00000049176	0.7030992
ENSMUSG00000053465	1.6275799
ENSMUSG00000028519	0.7836348
ENSMUSG00000020524	0.55375785
ENSMUSG00000056211	-0.094584994
ENSMUSG00000093528	0.23740529
ENSMUSG00000030849	-0.8428552
ENSMUSG00000100851	2.0818799
ENSMUSG00000051177	0.07039662
ENSMUSG00000039488	2.0137792
ENSMUSG00000045103	0.18596923
ENSMUSG00000033981	-1.1071064
ENSMUSG00000055540	1.1357402
ENSMUSG00000051401	0.9049436
ENSMUSG00000022762	0.7275665
ENSMUSG00000015501	-0.23932244
ENSMUSG00000027799	-1.0846866
ENSMUSG00000060534	1.0443174
ENSMUSG00000059742	0.5058843
ENSMUSG00000036617	1.0670813
ENSMUSG00000033004	-1.5307219
ENSMUSG00000032503	-0.24602573
ENSMUSG00000059187	1.6211089
ENSMUSG00000098178	-0.66132426
ENSMUSG00000032036	1.5624721
ENSMUSG00000097300	-0.16394289
ENSMUSG00000052551	1.9463953
ENSMUSG00000064293	1.3562862
ENSMUSG00000029108	0.7610209
ENSMUSG00000039578	-0.23280203
ENSMUSG00000028649	-1.1919416
ENSMUSG00000036815	0.53156936
ENSMUSG00000061576	-0.19115807
ENSMUSG00000051331	-0.59258145
ENSMUSG00000022708	-0.035642464
ENSMUSG00000052920	0.92402977
ENSMUSG00000025909	-0.071926154
ENSMUSG00000097263	-1.0979562
ENSMUSG00000053477	-0.39455506
ENSMUSG00000063626	1.3007214
ENSMUSG00000027273	-1.0854987
ENSMUSG00000024500	-0.17528704
ENSMUSG00000037386	-0.6800864
ENSMUSG00000054423	-0.93813264
ENSMUSG00000057716	-0.76769006
ENSMUSG00000036158	-0.20457497
ENSMUSG00000027674	0.51916647
ENSMUSG00000052387	1.625598
ENSMUSG00000027797	-0.7961341
ENSMUSG00000030020	-0.45604438
ENSMUSG00000058317	-0.70661557
ENSMUSG00000025892	-0.043729894
ENSMUSG00000052512	-0.35660982
ENSMUSG00000097723	-1.1887774
ENSMUSG00000039852	-1.2890074
ENSMUSG00000046876	-0.6483272
ENSMUSG00000029212	-0.1680238
ENSMUSG00000056158	0.6178491
ENSMUSG00000062078	-0.9107592
ENSMUSG00000004383	-0.53467596
ENSMUSG00000056258	-0.18349423
ENSMUSG00000019943	-1.0272344
ENSMUSG00000027238	-0.18512873
ENSMUSG00000059921	0.33770373
ENSMUSG00000055254	0.5538822
ENSMUSG00000040118	-0.14867553
ENSMUSG00000055026	1.1046599
ENSMUSG00000036095	0.53732014
ENSMUSG00000039218	-1.9151593
ENSMUSG00000040785	-1.7182232
ENSMUSG00000022307	0.0370347
ENSMUSG00000019888	1.6340946
ENSMUSG00000021991	0.43324786
ENSMUSG00000029245	0.44412485
ENSMUSG00000053825	-0.650613
ENSMUSG00000056553	-0.6753572
ENSMUSG00000053580	-1.5022094
ENSMUSG00000034751	-0.029288705
ENSMUSG00000047454	-1.4011859
ENSMUSG00000052613	1.4719039
ENSMUSG00000026527	-0.43493137
ENSMUSG00000070695	1.1465757
ENSMUSG00000034813	0.49562645
ENSMUSG00000048078	-0.23577072
ENSMUSG00000033676	-0.985819
ENSMUSG00000061298	-0.17058498
ENSMUSG00000028248	-2.3530984
ENSMUSG00000029823	-1.754531
ENSMUSG00000034780	-0.38498488
ENSMUSG00000036469	0.5712721
ENSMUSG00000045038	-0.84977084
ENSMUSG00000059857	0.91985977
ENSMUSG00000034488	-0.15636766
ENSMUSG00000024617	-0.88944215
ENSMUSG00000035131	1.132419
ENSMUSG00000018411	-1.4242157
ENSMUSG00000044471	-1.1899561
ENSMUSG00000038665	-0.6552766
ENSMUSG00000048264	-1.2267234
ENSMUSG00000046709	-1.0288678
ENSMUSG00000052889	-0.84226847
ENSMUSG00000039716	-1.747175
ENSMUSG00000061603	-1.4042429
ENSMUSG00000054640	-0.13367301
ENSMUSG00000031425	-1.207857
ENSMUSG00000095779	-0.2552525
ENSMUSG00000024268	-0.121057555
ENSMUSG00000026872	-0.3924404
ENSMUSG00000000416	-0.9983676
ENSMUSG00000057914	-0.14734513
ENSMUSG00000035681	0.6957258
ENSMUSG00000092083	0.36672398
ENSMUSG00000017412	-0.5048584
ENSMUSG00000021313	-0.58055645
ENSMUSG00000022892	-1.4416335
ENSMUSG00000027419	-0.19751951
ENSMUSG00000085440	-0.28063896
ENSMUSG00000005583	-0.10974851
ENSMUSG00000061911	-0.88737464
ENSMUSG00000052534	-0.18467398
ENSMUSG00000027620	-2.4193504
ENSMUSG00000028373	-0.000443135
ENSMUSG00000030302	-1.0265998
ENSMUSG00000031626	-0.548585
ENSMUSG00000039542	-1.1015391
ENSMUSG00000027309	-1.741017
ENSMUSG00000031342	-1.0337783
ENSMUSG00000004698	0.10711596
ENSMUSG00000025571	-2.100198
ENSMUSG00000063077	-1.778702
ENSMUSG00000056427	0.049484022
ENSMUSG00000041607	-0.80162054
ENSMUSG00000032336	-2.2651467
ENSMUSG00000027692	-1.3505657
ENSMUSG00000040420	0.9916208
ENSMUSG00000024758	-1.6948137
ENSMUSG00000020598	-0.6662471
ENSMUSG00000052727	-1.1436032
ENSMUSG00000063600	1.2666825
ENSMUSG00000021219	0.76333815
ENSMUSG00000038349	-0.10100391
ENSMUSG00000050272	-0.37387162
ENSMUSG00000096054	-0.9902088
ENSMUSG00000109394	-0.5207888
ENSMUSG00000001986	-0.40020868
ENSMUSG00000035954	-0.31619245
ENSMUSG00000016150	0.31295422
ENSMUSG00000015829	0.037157677
ENSMUSG00000033379	-2.2891726
ENSMUSG00000015222	-1.359195
ENSMUSG00000102805	-0.61541754
ENSMUSG00000030516	-1.0404223
ENSMUSG00000046159	0.778906
ENSMUSG00000033510	-0.91860205
ENSMUSG00000061731	-0.30842122
ENSMUSG00000028351	0.14318234
ENSMUSG00000028677	0.0085265655
ENSMUSG00000021413	-1.686494
ENSMUSG00000026131	-1.8837973
ENSMUSG00000023826	-0.7470548
ENSMUSG00000021010	0.55294746
ENSMUSG00000039047	0.5558896
ENSMUSG00000052516	0.31559455
ENSMUSG00000032076	-0.3459917
ENSMUSG00000075415	-1.4230748
ENSMUSG00000087625	0.30305925
ENSMUSG00000022012	-0.5457481
ENSMUSG00000039809	-0.5911115
ENSMUSG00000021087	-1.5886114
ENSMUSG00000034621	-2.0748267
ENSMUSG00000022112	1.24202
ENSMUSG00000058656	-0.70325214
ENSMUSG00000026490	-1.7758142
ENSMUSG00000035649	-2.0722175
ENSMUSG00000038608	-0.12842773
ENSMUSG00000042807	-1.3581353
ENSMUSG00000015968	-1.2900028
ENSMUSG00000046442	-0.84005755
ENSMUSG00000063511	-2.9384363
ENSMUSG00000061601	-1.3652345
ENSMUSG00000045967	-0.45134273
ENSMUSG00000070565	-0.97883755
ENSMUSG00000078591	1.0348482
ENSMUSG00000040265	-1.2011677
ENSMUSG00000056608	-2.0576148
ENSMUSG00000022139	-1.4395075
ENSMUSG00000022829	-0.58282727
ENSMUSG00000036452	-0.6917732
ENSMUSG00000040459	-1.9631197
ENSMUSG00000055022	-0.9750529
ENSMUSG00000037266	-2.3285878
ENSMUSG00000030126	-1.6113987
ENSMUSG00000056222	-0.004571398
ENSMUSG00000087526	-1.0111941
ENSMUSG00000028152	-0.5022079
ENSMUSG00000037196	0.5606953
ENSMUSG00000034135	-0.9676933
ENSMUSG00000074505	0.03606223
ENSMUSG00000021745	-0.15226476
ENSMUSG00000025576	-1.1135365
ENSMUSG00000022321	-0.045170143
ENSMUSG00000039145	-1.1560603
ENSMUSG00000025314	-0.61993533
ENSMUSG00000024548	-0.91685665
ENSMUSG00000020458	-1.7537384
ENSMUSG00000030075	0.15999588
ENSMUSG00000037926	-1.7887179
ENSMUSG00000022332	-0.64824545
ENSMUSG00000017376	-0.853714
ENSMUSG00000028524	-1.6716326
ENSMUSG00000059146	-0.28006712
ENSMUSG00000046178	1.6167469
ENSMUSG00000005089	-0.28668842
ENSMUSG00000105361	-1.0332259
ENSMUSG00000022607	-1.5906016
ENSMUSG00000018412	-1.9128761
ENSMUSG00000106379	0.4678261
ENSMUSG00000042846	0.015061387
ENSMUSG00000020315	-1.8490791
ENSMUSG00000026721	-1.5922441
ENSMUSG00000004110	-0.6634305
ENSMUSG00000036438	-1.8927958
ENSMUSG00000056602	-1.2751416
ENSMUSG00000112437	-0.39988995
ENSMUSG00000034040	-0.21600682
ENSMUSG00000116933	-0.9140765
ENSMUSG00000041078	-0.46380445
ENSMUSG00000101640	0.22209385
ENSMUSG00000025658	-0.80714846
ENSMUSG00000019828	0.08930869
ENSMUSG00000029765	-0.40393817
ENSMUSG00000101609	-1.1755737
ENSMUSG00000032452	0.3478035
ENSMUSG00000037940	0.62414896
ENSMUSG00000044071	0.99259007
ENSMUSG00000038538	-1.8897771
ENSMUSG00000002625	-2.4456618
ENSMUSG00000033392	-2.1526725
ENSMUSG00000021488	-1.732503
ENSMUSG00000032087	-0.20864797
ENSMUSG00000035392	-1.953681
ENSMUSG00000039913	-0.765842
ENSMUSG00000042757	-0.07758297
ENSMUSG00000020354	1.240375
ENSMUSG00000050965	-0.4142589
ENSMUSG00000053141	0.89262915
ENSMUSG00000014592	-1.5047996
ENSMUSG00000054162	0.21008818
ENSMUSG00000069769	-0.84300274
ENSMUSG00000039375	-0.05311229
ENSMUSG00000040430	0.24092259
ENSMUSG00000026335	-0.22449085
ENSMUSG00000044340	-1.3051444
ENSMUSG00000020745	-2.0947244
ENSMUSG00000024589	-0.9853546
ENSMUSG00000009394	-0.71534836
ENSMUSG00000025404	-1.6528984
ENSMUSG00000039671	-1.6498771
ENSMUSG00000056342	-1.9364212
ENSMUSG00000097736	-0.13168845
ENSMUSG00000027523	-1.041174
ENSMUSG00000097560	-1.544711
ENSMUSG00000019505	-1.5806726
ENSMUSG00000104302	-0.62889034
ENSMUSG00000028926	-0.6374628
ENSMUSG00000031561	0.73289347
ENSMUSG00000022454	-1.0828723
ENSMUSG00000040452	0.5607619
ENSMUSG00000033565	-1.930148
ENSMUSG00000020859	-2.3228555
ENSMUSG00000022629	-2.1398678
ENSMUSG00000034187	-1.7130129
ENSMUSG00000057378	0.04901852
ENSMUSG00000036298	0.23581941
ENSMUSG00000031748	-1.8937384
ENSMUSG00000045095	-0.9865216
ENSMUSG00000053702	-0.4248198
ENSMUSG00000071753	-1.6002029
ENSMUSG00000029763	-1.8751101
ENSMUSG00000037852	-0.9015558
ENSMUSG00000044072	-1.3769267
ENSMUSG00000030231	-1.1617274
ENSMUSG00000030795	-3.3627577
ENSMUSG00000110803	-1.4771067
ENSMUSG00000040276	-1.8389722
ENSMUSG00000106218	-1.7895246
ENSMUSG00000055567	-1.8489093
ENSMUSG00000022377	-0.74808383
ENSMUSG00000024304	-1.0258546
ENSMUSG00000055409	0.73289156
ENSMUSG00000032827	-1.1671911
ENSMUSG00000027016	-0.018926756
ENSMUSG00000032212	-2.8422556
ENSMUSG00000043531	0.47481334
ENSMUSG00000048915	0.50954443
ENSMUSG00000028226	-0.57847184
ENSMUSG00000022961	-2.2236888
ENSMUSG00000097518	-1.7067702
ENSMUSG00000042348	-0.5924655
ENSMUSG00000073514	-0.7098375
ENSMUSG00000097695	1.4173418
ENSMUSG00000029516	-1.1342947
ENSMUSG00000054843	-0.8993786
ENSMUSG00000028804	-0.9309377
ENSMUSG00000063434	0.80715716
ENSMUSG00000025006	-0.9491533
ENSMUSG00000038143	-0.5544648
ENSMUSG00000033740	-0.108352736
ENSMUSG00000026103	-2.1229498
ENSMUSG00000003974	-0.35985842
ENSMUSG00000059173	0.7745416
ENSMUSG00000027200	0.2235878
ENSMUSG00000021458	-1.7005075
ENSMUSG00000060988	-0.1436992
ENSMUSG00000036792	-2.2311206
ENSMUSG00000047888	-2.3973906
ENSMUSG00000040907	-1.9355572
ENSMUSG00000028760	-2.01293
ENSMUSG00000037876	-1.7437536
ENSMUSG00000005871	-2.1559443
ENSMUSG00000033769	-1.7797364
ENSMUSG00000059203	2.2513335
ENSMUSG00000063297	0.9208397
ENSMUSG00000027993	-1.3027107
ENSMUSG00000037685	-1.2116852
ENSMUSG00000021719	-0.64478654
ENSMUSG00000030518	-0.64076495
ENSMUSG00000019889	-0.59073126
ENSMUSG00000021596	-0.26153865
ENSMUSG00000058571	1.0967448
ENSMUSG00000021301	-0.87544584
ENSMUSG00000063873	0.027496278
ENSMUSG00000009545	-1.7003855
ENSMUSG00000052544	-0.67582726
ENSMUSG00000031517	-1.6352164
ENSMUSG00000026442	-1.5855099
ENSMUSG00000062604	-2.1463442
ENSMUSG00000023965	-1.7088193
ENSMUSG00000097469	-1.3876834
ENSMUSG00000038170	-1.8676767
ENSMUSG00000027677	-2.8432653
ENSMUSG00000032228	-1.3805668
ENSMUSG00000051527	-0.039690893
ENSMUSG00000092094	1.8950783
ENSMUSG00000021198	-1.8847408
ENSMUSG00000037492	0.15003337
ENSMUSG00000022577	-0.91266847
ENSMUSG00000062202	-1.4736311
ENSMUSG00000042700	-1.2429507
ENSMUSG00000021071	-1.4042068
ENSMUSG00000057230	-2.6527367
ENSMUSG00000087620	-1.0770978
ENSMUSG00000036381	-0.33208779
ENSMUSG00000019699	-1.7386416
ENSMUSG00000032985	0.06533564
ENSMUSG00000032841	-0.14357555
ENSMUSG00000020647	-1.6801054
ENSMUSG00000021730	0.08635053
ENSMUSG00000031841	1.0768355
ENSMUSG00000023033	-2.4602582
ENSMUSG00000029461	-2.2276552
ENSMUSG00000051359	-0.6408139
ENSMUSG00000049044	-0.70444906
ENSMUSG00000022263	-1.8631947
ENSMUSG00000070866	0.6725602
ENSMUSG00000039652	-1.0584768
ENSMUSG00000004637	-0.15251428
ENSMUSG00000023026	-1.7019583
ENSMUSG00000037286	-2.016257
ENSMUSG00000110741	-0.34212607
ENSMUSG00000008575	-0.18063009
ENSMUSG00000021779	-0.12923016
ENSMUSG00000029207	-1.5294776
ENSMUSG00000000560	-0.33736596
ENSMUSG00000034390	-1.4126998
ENSMUSG00000038602	-0.06529104
ENSMUSG00000038664	-2.5347602
ENSMUSG00000032740	-1.812177
ENSMUSG00000086220	-0.35220286
ENSMUSG00000070498	-1.0426292
ENSMUSG00000034265	-0.84338385
ENSMUSG00000026959	-1.8119081
ENSMUSG00000051586	-1.6033267
ENSMUSG00000068151	-0.30295408
ENSMUSG00000020627	-0.6185029
ENSMUSG00000035569	-2.3812742
ENSMUSG00000036053	-0.7134206
ENSMUSG00000030257	-1.3998699
ENSMUSG00000034310	0.21347454
ENSMUSG00000007617	0.063630015
ENSMUSG00000026743	-2.2849903
ENSMUSG00000034312	-1.145549
ENSMUSG00000024211	0.9455164
ENSMUSG00000058318	-1.5151671
ENSMUSG00000022119	-2.5944417
ENSMUSG00000028634	-1.2901194
ENSMUSG00000022974	-6.1097174
ENSMUSG00000040506	-2.0791292
ENSMUSG00000026740	-1.1523261
ENSMUSG00000021027	-1.555146
ENSMUSG00000003452	-1.6884587
ENSMUSG00000004980	-2.4262068
ENSMUSG00000041720	-2.122043
ENSMUSG00000020716	-1.9609908
ENSMUSG00000022340	-1.2023323
ENSMUSG00000020661	-1.9014566
ENSMUSG00000020954	-2.2839007
ENSMUSG00000027827	-0.0497143
ENSMUSG00000022995	-1.6432871
ENSMUSG00000039630	-3.2458956
ENSMUSG00000054823	-2.6626856
ENSMUSG00000036264	0.11265304
ENSMUSG00000018501	-2.4077759
ENSMUSG00000029772	-0.938079
ENSMUSG00000041540	0.36055073
ENSMUSG00000039037	0.2778161
ENSMUSG00000031229	-2.4858875
ENSMUSG00000026987	-1.6641053
ENSMUSG00000024897	-1.0666633
ENSMUSG00000024639	-2.1552918
ENSMUSG00000026058	0.050122134
ENSMUSG00000041923	-1.0262533
ENSMUSG00000005506	-2.0440602
ENSMUSG00000029817	-2.269257
ENSMUSG00000022378	-1.7077296
ENSMUSG00000037736	-1.1088482
ENSMUSG00000038248	-0.92258453
ENSMUSG00000018171	-1.6764406
ENSMUSG00000020719	-2.2392378
ENSMUSG00000013236	-2.5220633
ENSMUSG00000021373	-1.225029
ENSMUSG00000055692	-1.97806
ENSMUSG00000028528	-1.8828387
ENSMUSG00000102758	-0.4387238
ENSMUSG00000022770	-1.2430325
ENSMUSG00000034377	-1.3938464
ENSMUSG00000024544	-0.7481461
ENSMUSG00000028180	-3.0617971
ENSMUSG00000019907	-2.1998997
ENSMUSG00000041112	-0.34267637
ENSMUSG00000025234	-1.921362
ENSMUSG00000032582	-2.3634152
ENSMUSG00000039585	-2.4784334
ENSMUSG00000049928	-1.1290091
ENSMUSG00000034160	-2.2894728
ENSMUSG00000030519	-1.2285482
ENSMUSG00000033713	-1.1308545
ENSMUSG00000038679	-0.20096824
ENSMUSG00000009569	-1.9596834
ENSMUSG00000037646	-2.3373318
ENSMUSG00000001270	-1.7484448
ENSMUSG00000024661	-1.3184155
ENSMUSG00000039801	-2.1573813
ENSMUSG00000026204	-0.9651831
ENSMUSG00000029757	-1.2205476
ENSMUSG00000041852	-1.3939989
ENSMUSG00000038244	-1.2609494
ENSMUSG00000085456	1.1660477
ENSMUSG00000042446	-1.9463909
ENSMUSG00000058152	0.116184376
ENSMUSG00000049076	-2.1342754
ENSMUSG00000061578	-1.5244453
ENSMUSG00000107862	-0.9474769
ENSMUSG00000026748	-0.42055997
ENSMUSG00000055761	0.63134694
ENSMUSG00000019996	-1.6417475
ENSMUSG00000038290	-1.7808497
ENSMUSG00000020580	-1.303004
ENSMUSG00000027012	-2.4142613
ENSMUSG00000095041	-0.48344034
ENSMUSG00000032356	-0.8735785
ENSMUSG00000010608	-2.348004
ENSMUSG00000034647	-1.8862183
ENSMUSG00000056486	-1.7298398
ENSMUSG00000001175	-2.0310109
ENSMUSG00000085631	-0.13230106
ENSMUSG00000028488	-1.2293814
ENSMUSG00000104093	0.22236261
ENSMUSG00000031605	-1.3411231
ENSMUSG00000019990	0.26210564
ENSMUSG00000026839	-0.9932725
ENSMUSG00000035189	-0.5006409
ENSMUSG00000079564	-0.78274107
ENSMUSG00000062232	-1.4755567
ENSMUSG00000001833	-1.8714787
ENSMUSG00000056899	-0.66002536
ENSMUSG00000020863	-2.8244429
ENSMUSG00000055067	-0.9726479
ENSMUSG00000097698	-1.1938919
ENSMUSG00000026576	-2.363638
ENSMUSG00000057715	-0.15158743
ENSMUSG00000032625	0.51495385
ENSMUSG00000032525	-2.190354
ENSMUSG00000110580	-1.5194173
ENSMUSG00000074968	-0.04784557
ENSMUSG00000029420	-0.6757478
ENSMUSG00000003992	-1.1309448
ENSMUSG00000040537	-2.0156062
ENSMUSG00000071454	-1.2159483
ENSMUSG00000072294	-0.9758926
ENSMUSG00000090266	-1.9540999
ENSMUSG00000024302	-1.4619637
ENSMUSG00000051166	-1.2465924
ENSMUSG00000034480	-1.0741
ENSMUSG00000020817	-1.9151524
ENSMUSG00000072501	-1.7709812
ENSMUSG00000055436	-2.747488
ENSMUSG00000069729	-2.1887493
ENSMUSG00000048721	-1.4917654
ENSMUSG00000038473	-0.9753836
ENSMUSG00000040896	-0.4057406
ENSMUSG00000049807	-1.7290726
ENSMUSG00000111971	-1.1532284
ENSMUSG00000045763	-1.8886318
ENSMUSG00000068373	-0.70423084
ENSMUSG00000038371	-2.2558196
ENSMUSG00000063646	-1.760072
ENSMUSG00000054733	-0.5498832
ENSMUSG00000039058	-0.5568348
ENSMUSG00000022201	-2.375029
ENSMUSG00000007411	-2.1829567
ENSMUSG00000019302	-2.7652063
ENSMUSG00000031284	-0.90315294
ENSMUSG00000017631	-1.8108891
ENSMUSG00000038872	0.7236486
ENSMUSG00000054885	-0.63367295
ENSMUSG00000043456	-0.26825508
ENSMUSG00000058254	-1.5135516
ENSMUSG00000040591	-1.7331858
ENSMUSG00000036218	0.6709545
ENSMUSG00000031618	-0.4543541
ENSMUSG00000022494	-0.021308599
ENSMUSG00000089809	-0.40664548
ENSMUSG00000032564	0.5258746
ENSMUSG00000042298	-2.4892278
ENSMUSG00000103428	0.30921176
ENSMUSG00000030016	-1.6143005
ENSMUSG00000025085	-1.3609505
ENSMUSG00000029837	-0.75528383
ENSMUSG00000028053	-2.3970387
ENSMUSG00000028034	-2.8985655
ENSMUSG00000049939	-1.1444651
ENSMUSG00000030774	-1.1849177
ENSMUSG00000028082	-0.83209705
ENSMUSG00000106395	-0.9173722
ENSMUSG00000036800	-0.83551896
ENSMUSG00000021843	-2.3216157
ENSMUSG00000026587	-2.0687199
ENSMUSG00000027002	-2.1860147
ENSMUSG00000037541	-1.3824967
ENSMUSG00000028496	-1.032159
ENSMUSG00000039607	-0.016167913
ENSMUSG00000023236	-2.8061745
ENSMUSG00000026824	-0.5745204
ENSMUSG00000024044	-1.3314252
ENSMUSG00000000197	-1.4748316
ENSMUSG00000021536	-0.5635188
ENSMUSG00000025555	-1.130538
ENSMUSG00000043301	-1.0683458
ENSMUSG00000030067	-1.0260379
ENSMUSG00000020457	-1.7397004
ENSMUSG00000042331	-1.1225882
ENSMUSG00000054459	-1.1888342
ENSMUSG00000024073	-3.5490701
ENSMUSG00000029821	-0.4830053
ENSMUSG00000028820	-4.1923122
ENSMUSG00000022521	-2.32578
ENSMUSG00000032621	-2.6880481
ENSMUSG00000019841	-1.7776986
ENSMUSG00000042751	-0.9561517
ENSMUSG00000042359	-1.0628393
ENSMUSG00000041624	-1.1980071
ENSMUSG00000064138	-1.9270322
ENSMUSG00000075318	-2.2816365
ENSMUSG00000067028	0.6728852
ENSMUSG00000022048	-2.5018632
ENSMUSG00000065954	-1.4570405
ENSMUSG00000044477	-2.1560953
ENSMUSG00000046230	-2.1031446
ENSMUSG00000026235	-0.8688949
ENSMUSG00000096972	1.7886437
ENSMUSG00000022812	-2.0957267
ENSMUSG00000037138	-0.8950288
ENSMUSG00000029580	-1.1772434
ENSMUSG00000045962	-2.0281355
ENSMUSG00000007653	-1.0376652
ENSMUSG00000046034	-1.2619908
ENSMUSG00000063919	-0.6370368
ENSMUSG00000057133	-3.0203846
ENSMUSG00000028565	-0.64587086
ENSMUSG00000003316	-2.8380103
ENSMUSG00000033278	0.45279697
ENSMUSG00000032570	-2.1050553
ENSMUSG00000042302	-2.3096626
ENSMUSG00000092368	-2.2300777
ENSMUSG00000054199	-2.542727
ENSMUSG00000010517	-2.471695
ENSMUSG00000029467	-2.2752395
ENSMUSG00000025982	-3.1608863
ENSMUSG00000034731	-1.0736642
ENSMUSG00000024097	-3.1740563
ENSMUSG00000030465	-1.225726
ENSMUSG00000057738	-2.1373365
ENSMUSG00000002413	-2.368295
ENSMUSG00000040225	-3.214351
ENSMUSG00000078722	-0.5670021
ENSMUSG00000021983	-1.4119267
ENSMUSG00000026425	-1.1789883
ENSMUSG00000024238	-0.8132546
ENSMUSG00000038831	-1.9815406
ENSMUSG00000003119	-2.0229695
ENSMUSG00000028842	-1.6970649
ENSMUSG00000040929	-0.7201979
ENSMUSG00000028354	-1.8792241
ENSMUSG00000038784	-2.5105898
ENSMUSG00000027447	-0.8713352
ENSMUSG00000038128	-0.3878915
ENSMUSG00000022636	0.13659719
ENSMUSG00000002028	-2.6573658
ENSMUSG00000036510	0.19241717
ENSMUSG00000029711	-2.827566
ENSMUSG00000035183	-2.169587
ENSMUSG00000055013	-1.9395149
ENSMUSG00000036333	-2.246033
ENSMUSG00000058153	-1.0847837
ENSMUSG00000107872	-3.5921512
ENSMUSG00000089699	-0.6066446
ENSMUSG00000030102	-0.8388958
ENSMUSG00000060961	0.0139033655
ENSMUSG00000108532	2.2251694
ENSMUSG00000022306	0.2971842
ENSMUSG00000035437	-2.4415145
ENSMUSG00000056763	-2.279736
ENSMUSG00000037487	-2.660901
ENSMUSG00000021314	-1.7825851
ENSMUSG00000026610	-0.15617897
ENSMUSG00000023923	-1.5321356
ENSMUSG00000059439	-1.8084171
ENSMUSG00000025261	-2.916413
ENSMUSG00000111593	-0.004919277
ENSMUSG00000021969	-1.5707957
ENSMUSG00000026384	-1.5509783
ENSMUSG00000021134	-2.8492174
ENSMUSG00000029838	-1.0657952
ENSMUSG00000055204	-2.1478112
ENSMUSG00000039219	-2.341339
ENSMUSG00000094958	-1.0819542
ENSMUSG00000033697	-1.7721343
ENSMUSG00000054477	-0.5950978
ENSMUSG00000036591	-1.844195
ENSMUSG00000021700	-0.50028634
ENSMUSG00000021559	-0.95064044
ENSMUSG00000052726	-0.44362524
ENSMUSG00000026219	-3.0095973
ENSMUSG00000032479	-1.5660822
ENSMUSG00000104206	-1.63656
ENSMUSG00000043831	-1.5030134
ENSMUSG00000022425	-1.0761355
ENSMUSG00000037674	-2.0022416
ENSMUSG00000044308	-2.6253624
ENSMUSG00000000538	-2.0637727
ENSMUSG00000043940	-2.883708
ENSMUSG00000024983	-2.2955003
ENSMUSG00000050812	-2.594363
