,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13
Endo,0.0,0.0,0.32623187479779087,0.0,0.0,0.0,0.07760347414095217,0.10966807393076897,0.0,0.0,0.0,0.0,0.09432072871821755,0.39217584841227043
FDC,0.0,0.0,0.0,0.0,0.0,0.0,0.5194826451851059,0.004997769309854474,0.0,0.0,0.0,0.0,0.2347988882321083,0.24072069727293133
ILC,0.0,0.0,0.3376171837550542,0.0,0.0,0.0,0.18880815468485956,0.0,0.0,0.0,0.0,0.0,0.09960689151691046,0.3739677700431758
Macrophages_M1,0.0,0.0,0.053997370909231186,0.0,0.0,0.0,0.28853285026809844,0.09986675355607913,0.0,0.0,0.0,0.0,0.08894256535754028,0.468660459909051
Macrophages_M2,0.0,0.0,0.5525826478601061,0.0,0.0,0.0,0.0829429987099197,0.1926164528714468,0.0,0.0,0.0,0.0,0.1223369132821986,0.049520987276328754
Mast,0.0,0.0,0.5488969228289335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45110307717106646
Monocytes,0.0,0.0,0.505210756285379,0.0,0.0,0.0,0.014544788337923062,0.03712012253278737,0.0,0.0,0.0,0.0,0.04134321533005748,0.4017811175138531
NK,0.0,0.0,0.3957115720656505,0.0,0.0,0.0,0.18194987981137767,0.10620955071100459,0.0,0.0,0.0,0.0,0.16098251513115258,0.15514648228081465
NKT,0.0,0.0,0.42996262960833365,0.0,0.0,0.0,0.029278373119613878,0.19847371130261734,0.0,0.0,0.0,0.0,0.1393064306626853,0.20297885530674983
T_CD4+,0.0,0.0,0.28757349878086313,0.0,0.0,0.0,0.0706896101669693,0.1786879218998926,0.0,0.0,0.0,0.0,0.03274157838844196,0.43030739076383306
T_CD4+_TfH,0.0,0.0,0.16031910285531611,0.0,0.0,0.0,0.5174367025464875,0.06650953664673298,0.0,0.0,0.0,0.0,0.08945413560935571,0.1662805223421077
T_CD4+_TfH_GC,0.0,0.0,0.0,0.0,0.0,0.0,0.21589226792255795,0.18451346907439448,0.0,0.0,0.0,0.0,0.47707074530698323,0.12252351769606433
T_CD4+_naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9484943859997571,0.0,0.0,0.0,0.0,0.010291770444961984,0.0412138435552809
T_CD8+_CD161+,0.0,0.0,0.39663824224825095,0.0,0.0,0.0,0.19571706547820852,0.054624135104265004,0.0,0.0,0.0,0.0,0.05837719448028266,0.2946433626889929
T_CD8+_cytotoxic,0.0,0.0,0.27961746801116305,0.0,0.0,0.0,0.07955874530311041,0.23136572385671678,0.0,0.0,0.0,0.0,0.26896869068033513,0.14048937214867463
T_CD8+_naive,0.0,0.0,0.33729467812266306,0.0,0.0,0.0,0.04359107707140881,0.5543554009861502,0.0,0.0,0.0,0.0,0.024662283191194657,0.040096560628583265
T_TIM3+,0.0,0.0,0.25458992585064283,0.0,0.0,0.0,0.21996262055795537,0.15282778848108963,0.0,0.0,0.0,0.0,0.1471633136266064,0.2254563514837058
T_TfR,0.0,0.0,0.051506038860653004,0.0,0.0,0.0,0.0042823226632387554,0.5157417461605301,0.0,0.0,0.0,0.0,0.11108335800764736,0.31738653430793073
T_Treg,0.0,0.0,0.19141315843023698,0.0,0.0,0.0,0.173303968184877,0.320771991132351,0.0,0.0,0.0,0.0,0.16043380176740962,0.15407708048512544
VSMC,0.0,0.0,0.3001328090971383,0.0,0.0,0.0,0.07816890416626474,0.16596729730764376,0.0,0.0,0.0,0.0,0.07122356946557142,0.3845074199633818
