,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_12,DC_cDC2: 0.61,DC_CCR7+: 0.45,Mast: 0.21,ILC: 0.13,T_TfR: 0.071,NKT: 0.051,B_preGC: 0.048,Endo: 0.044,T_CD4+: 0.044,Monocytes: 0.042
mean_cell_type_factorsfact_13,DC_cDC1: 0.57,T_CD4+: 0.13,T_CD4+_naive: 0.07,NKT: 0.062,Macrophages_M1: 0.034,B_Cycling: 0.03,B_preGC: 0.027,B_GC_prePB: 0.023,T_TfR: 0.022,B_activated: 0.021
mean_cell_type_factorsfact_14,B_preGC: 0.6,B_Cycling: 0.083,T_TIM3+: 0.078,Mast: 0.042,T_TfR: 0.041,DC_cDC1: 0.038,NKT: 0.029,T_CD8+_naive: 0.025,B_plasma: 0.019,T_CD4+: 0.011
mean_cell_type_factorsfact_15,B_GC_LZ: 0.69,B_GC_prePB: 0.25,T_CD4+_TfH_GC: 0.16,FDC: 0.13,B_GC_DZ: 0.061,B_IFN: 0.032,ILC: 0.029,T_CD4+_TfH: 0.028,Macrophages_M1: 0.028,T_TIM3+: 0.027
mean_cell_type_factorsfact_16,T_CD4+_TfH_GC: 0.55,T_TfR: 0.11,B_GC_prePB: 0.078,B_GC_LZ: 0.072,FDC: 0.061,T_CD4+_TfH: 0.047,B_naive: 0.034,Macrophages_M1: 0.029,T_CD8+_cytotoxic: 0.023,B_GC_DZ: 0.015
mean_cell_type_factorsfact_17,NK: 0.44,ILC: 0.13,T_CD4+_TfH: 0.087,T_CD8+_cytotoxic: 0.061,T_CD8+_CD161+: 0.057,DC_CCR7+: 0.051,NKT: 0.044,T_TIM3+: 0.037,DC_pDC: 0.033,VSMC: 0.032
mean_cell_type_factorsfact_18,Macrophages_M2: 0.68,Endo: 0.064,Mast: 0.06,T_CD8+_naive: 0.06,DC_pDC: 0.056,T_CD8+_cytotoxic: 0.05,NK: 0.047,Monocytes: 0.044,B_activated: 0.042,B_plasma: 0.041
mean_cell_type_factorsfact_19,FDC: 0.63,B_GC_prePB: 0.18,T_CD4+_TfH_GC: 0.059,Macrophages_M1: 0.03,B_GC_DZ: 0.02,B_naive: 0.02,DC_cDC1: 0.018,B_activated: 0.017,T_CD4+: 0.014,DC_CCR7+: 0.013
mean_cell_type_factorsfact_20,Macrophages_M1: 0.53,T_CD4+: 0.11,Mast: 0.084,NKT: 0.081,Endo: 0.05,VSMC: 0.047,DC_cDC1: 0.043,B_GC_prePB: 0.041,T_TfR: 0.038,DC_CCR7+: 0.032
mean_cell_type_factorsfact_21,T_TIM3+: 0.38,ILC: 0.066,T_TfR: 0.047,DC_CCR7+: 0.038,B_preGC: 0.034,VSMC: 0.033,B_Cycling: 0.024,Mast: 0.021,NK: 0.021,T_CD8+_CD161+: 0.02
mean_cell_type_factorsfact_22,B_GC_DZ: 0.7,B_GC_prePB: 0.14,B_GC_LZ: 0.066,FDC: 0.034,B_Cycling: 0.034,T_CD4+: 0.029,T_CD4+_TfH_GC: 0.024,ILC: 0.023,T_CD8+_CD161+: 0.019,T_CD4+_TfH: 0.018
mean_cell_type_factorsfact_23,VSMC: 0.48,NKT: 0.089,T_CD4+: 0.074,Endo: 0.055,Mast: 0.052,ILC: 0.05,Monocytes: 0.036,B_activated: 0.028,B_plasma: 0.026,B_mem: 0.022
