,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_10,B_mem: 0.83,T_CD4+: 0.29,B_preGC: 0.15,T_CD4+_naive: 0.13,DC_cDC1: 0.12,NKT: 0.11,B_naive: 0.11,B_activated: 0.094,T_TfR: 0.056,Mast: 0.054
mean_cell_type_factorsfact_11,B_plasma: 0.67,B_activated: 0.16,T_CD4+_TfH: 0.12,Mast: 0.093,T_CD8+_CD161+: 0.084,Monocytes: 0.079,T_CD8+_naive: 0.075,NKT: 0.068,T_CD8+_cytotoxic: 0.068,Macrophages_M2: 0.063
mean_cell_type_factorsfact_12,B_GC_LZ: 0.71,B_GC_prePB: 0.28,T_CD4+_TfH_GC: 0.15,B_GC_DZ: 0.14,FDC: 0.13,B_IFN: 0.032,ILC: 0.031,Macrophages_M1: 0.031,T_TIM3+: 0.029,T_CD4+_TfH: 0.027
mean_cell_type_factorsfact_13,VSMC: 0.5,Monocytes: 0.094,NKT: 0.09,T_CD4+: 0.076,Mast: 0.059,ILC: 0.05,Endo: 0.048,B_GC_DZ: 0.02,B_plasma: 0.02,T_CD8+_CD161+: 0.019
mean_cell_type_factorsfact_14,Endo: 0.52,Monocytes: 0.15,Mast: 0.077,VSMC: 0.066,T_CD4+: 0.064,NKT: 0.057,ILC: 0.053,B_GC_DZ: 0.05,B_activated: 0.047,DC_cDC2: 0.044
mean_cell_type_factorsfact_15,B_preGC: 0.6,B_Cycling: 0.13,T_TIM3+: 0.08,Mast: 0.052,T_TfR: 0.037,DC_pDC: 0.037,DC_cDC1: 0.037,B_plasma: 0.034,NKT: 0.026,T_CD8+_naive: 0.025
mean_cell_type_factorsfact_16,Macrophages_M1: 0.55,T_CD4+: 0.11,Mast: 0.097,NKT: 0.075,Monocytes: 0.057,B_GC_prePB: 0.046,DC_cDC1: 0.042,Endo: 0.041,VSMC: 0.041,T_TfR: 0.035
mean_cell_type_factorsfact_17,B_IFN: 0.74,T_TfR: 0.028,DC_CCR7+: 0.027,T_TIM3+: 0.025,Monocytes: 0.025,FDC: 0.021,T_CD8+_cytotoxic: 0.021,NK: 0.018,T_Treg: 0.016,DC_cDC1: 0.013
mean_cell_type_factorsfact_18,T_CD4+_TfH_GC: 0.57,B_GC_LZ: 0.12,T_TfR: 0.1,B_GC_prePB: 0.093,FDC: 0.068,T_CD4+_TfH: 0.048,B_naive: 0.038,Macrophages_M1: 0.034,T_CD8+_cytotoxic: 0.024,NK: 0.019
mean_cell_type_factorsfact_19,T_TIM3+: 0.4,DC_pDC: 0.072,ILC: 0.07,T_TfR: 0.04,VSMC: 0.038,B_plasma: 0.034,NK: 0.034,DC_CCR7+: 0.03,Endo: 0.023,Mast: 0.023
mean_cell_type_factorsfact_20,Macrophages_M2: 0.69,Monocytes: 0.14,B_activated: 0.095,T_CD8+_naive: 0.081,T_CD8+_cytotoxic: 0.08,Mast: 0.071,T_CD8+_CD161+: 0.06,Endo: 0.056,T_CD4+_TfH: 0.047,NK: 0.047
