,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_16,T_CD8+_cytotoxic: 0.44,T_CD8+_CD161+: 0.2,T_CD8+_naive: 0.19,NKT: 0.14,T_CD4+_TfH: 0.13,NK: 0.075,T_TIM3+: 0.042,T_Treg: 0.04,B_GC_prePB: 0.034,DC_pDC: 0.028
mean_cell_type_factorsfact_17,DC_cDC1: 0.57,T_CD4+: 0.12,T_CD4+_naive: 0.07,NKT: 0.05,Macrophages_M1: 0.033,B_Cycling: 0.031,B_preGC: 0.028,B_GC_prePB: 0.02,Endo: 0.014,VSMC: 0.01
mean_cell_type_factorsfact_18,B_GC_DZ: 0.7,B_GC_prePB: 0.14,B_GC_LZ: 0.065,B_Cycling: 0.035,FDC: 0.034,T_CD4+: 0.028,T_CD4+_TfH_GC: 0.025,T_CD8+_CD161+: 0.018,B_naive: 0.017,T_CD4+_TfH: 0.016
mean_cell_type_factorsfact_19,B_mem: 0.82,T_CD4+: 0.28,B_preGC: 0.14,T_CD4+_naive: 0.13,DC_cDC1: 0.11,B_activated: 0.11,B_naive: 0.11,NKT: 0.1,Mast: 0.05,FDC: 0.046
mean_cell_type_factorsfact_20,Macrophages_M2: 0.66,T_CD8+_naive: 0.061,Endo: 0.059,Mast: 0.052,T_CD8+_cytotoxic: 0.049,DC_pDC: 0.041,Monocytes: 0.04,NK: 0.037,B_plasma: 0.036,T_CD8+_CD161+: 0.033
mean_cell_type_factorsfact_21,B_preGC: 0.6,B_Cycling: 0.083,T_TIM3+: 0.076,Mast: 0.045,DC_cDC1: 0.038,T_TfR: 0.031,NKT: 0.028,T_CD8+_naive: 0.025,B_plasma: 0.017,DC_cDC2: 0.014
mean_cell_type_factorsfact_22,B_plasma: 0.63,Mast: 0.073,T_CD4+_TfH: 0.058,Macrophages_M2: 0.043,T_CD8+_naive: 0.033,Monocytes: 0.032,T_TIM3+: 0.032,NK: 0.028,T_CD8+_CD161+: 0.028,VSMC: 0.027
mean_cell_type_factorsfact_23,T_CD4+_TfH_GC: 0.54,T_TfR: 0.091,B_GC_prePB: 0.076,B_GC_LZ: 0.071,FDC: 0.059,T_CD4+_TfH: 0.044,B_naive: 0.035,Macrophages_M1: 0.026,T_CD8+_cytotoxic: 0.021,B_GC_DZ: 0.015
mean_cell_type_factorsfact_24,Endo: 0.48,VSMC: 0.057,Mast: 0.051,T_CD4+: 0.042,DC_cDC2: 0.035,NKT: 0.034,B_activated: 0.032,ILC: 0.027,T_CD8+_CD161+: 0.022,T_TIM3+: 0.021
mean_cell_type_factorsfact_25,ILC: 0.57,DC_CCR7+: 0.2,T_CD4+_TfH: 0.17,T_Treg: 0.14,T_CD8+_CD161+: 0.12,T_CD8+_naive: 0.11,NK: 0.05,VSMC: 0.039,NKT: 0.031,T_TIM3+: 0.028
