,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_10,FDC: 0.63,B_GC_prePB: 0.17,T_CD4+_TfH_GC: 0.058,Macrophages_M1: 0.032,B_GC_DZ: 0.02,B_naive: 0.018,DC_cDC1: 0.017,T_CD4+: 0.015,B_IFN: 0.011,B_activated: 0.0067
mean_cell_type_factorsfact_11,B_Cycling: 0.79,B_GC_prePB: 0.13,DC_cDC1: 0.094,B_GC_DZ: 0.086,FDC: 0.077,Macrophages_M1: 0.062,T_CD4+_TfH_GC: 0.051,T_CD4+: 0.05,Mast: 0.05,B_GC_LZ: 0.031
mean_cell_type_factorsfact_12,NK: 0.43,T_CD4+_TfH: 0.072,T_CD8+_cytotoxic: 0.063,T_CD8+_CD161+: 0.05,ILC: 0.041,NKT: 0.041,T_Treg: 0.036,T_TIM3+: 0.035,VSMC: 0.031,DC_pDC: 0.025
mean_cell_type_factorsfact_13,B_plasma: 0.63,Mast: 0.072,T_CD4+_TfH: 0.059,Macrophages_M2: 0.044,T_CD8+_naive: 0.034,Monocytes: 0.032,T_TIM3+: 0.032,NK: 0.029,T_CD8+_CD161+: 0.028,VSMC: 0.028
mean_cell_type_factorsfact_14,B_GC_DZ: 0.7,B_GC_prePB: 0.14,B_GC_LZ: 0.062,B_Cycling: 0.035,FDC: 0.034,T_CD4+: 0.028,T_CD4+_TfH_GC: 0.024,T_CD8+_CD161+: 0.017,B_naive: 0.017,T_TIM3+: 0.014
mean_cell_type_factorsfact_15,B_mem: 0.82,T_CD4+: 0.27,B_preGC: 0.14,T_CD4+_naive: 0.12,DC_cDC1: 0.11,B_activated: 0.11,B_naive: 0.11,NKT: 0.1,Mast: 0.049,FDC: 0.046
mean_cell_type_factorsfact_16,B_IFN: 0.72,T_TIM3+: 0.022,FDC: 0.018,T_CD8+_cytotoxic: 0.018,T_Treg: 0.015,NK: 0.015,DC_cDC1: 0.014,T_TfR: 0.014,DC_CCR7+: 0.012,B_Cycling: 0.011
mean_cell_type_factorsfact_17,Macrophages_M2: 0.66,Endo: 0.06,T_CD8+_naive: 0.06,Mast: 0.054,T_CD8+_cytotoxic: 0.048,DC_pDC: 0.041,Monocytes: 0.04,NK: 0.038,B_plasma: 0.036,T_CD8+_CD161+: 0.034
mean_cell_type_factorsfact_18,DC_CCR7+: 0.71,NKT: 0.053,T_TfR: 0.027,NK: 0.024,T_CD8+_cytotoxic: 0.024,T_TIM3+: 0.022,T_Treg: 0.02,B_IFN: 0.018,B_GC_prePB: 0.015,DC_cDC2: 0.013
mean_cell_type_factorsfact_19,DC_cDC1: 0.57,T_CD4+: 0.12,T_CD4+_naive: 0.069,NKT: 0.049,Macrophages_M1: 0.033,B_Cycling: 0.031,B_preGC: 0.027,B_GC_prePB: 0.021,Endo: 0.014,B_plasma: 0.01
mean_cell_type_factorsfact_20,Endo: 0.48,VSMC: 0.057,Mast: 0.048,T_CD4+: 0.043,NKT: 0.035,B_activated: 0.033,DC_cDC2: 0.033,T_CD8+_CD161+: 0.021,T_TIM3+: 0.021,Macrophages_M1: 0.02
mean_cell_type_factorsfact_21,B_preGC: 0.59,B_Cycling: 0.083,T_TIM3+: 0.075,Mast: 0.045,DC_cDC1: 0.038,T_CD8+_naive: 0.027,NKT: 0.027,B_plasma: 0.018,DC_cDC2: 0.013,VSMC: 0.009
mean_cell_type_factorsfact_22,Macrophages_M1: 0.53,T_CD4+: 0.1,Mast: 0.086,NKT: 0.077,Endo: 0.051,VSMC: 0.048,DC_cDC1: 0.042,B_GC_prePB: 0.04,B_activated: 0.028,T_TfR: 0.019
mean_cell_type_factorsfact_23,T_TfR: 0.56,T_CD4+: 0.067,T_Treg: 0.057,T_CD8+_cytotoxic: 0.047,DC_CCR7+: 0.046,T_CD4+_naive: 0.038,T_CD4+_TfH_GC: 0.034,NKT: 0.031,B_IFN: 0.03,T_TIM3+: 0.027
mean_cell_type_factorsfact_24,T_CD8+_cytotoxic: 0.43,T_CD8+_CD161+: 0.19,T_CD8+_naive: 0.19,NKT: 0.13,T_CD4+_TfH: 0.13,NK: 0.072,T_TIM3+: 0.043,T_Treg: 0.034,B_GC_prePB: 0.033,DC_pDC: 0.027
mean_cell_type_factorsfact_25,B_GC_LZ: 0.69,B_GC_prePB: 0.25,T_CD4+_TfH_GC: 0.15,FDC: 0.14,B_GC_DZ: 0.061,B_IFN: 0.032,Macrophages_M1: 0.028,T_TIM3+: 0.027,B_naive: 0.025,T_CD4+_TfH: 0.023
mean_cell_type_factorsfact_26,VSMC: 0.47,NKT: 0.085,T_CD4+: 0.071,Endo: 0.056,Mast: 0.054,Monocytes: 0.037,B_activated: 0.034,B_plasma: 0.031,B_mem: 0.019,ILC: 0.017
