rn,Astro_0,Astro_1,Astro_2,Ext_Amy_2,Ext_Hpc_1,Ext_Hpc_3,Ext_Hpc_4,Ext_L23,Ext_L25,Ext_L5_1,Ext_L56,Ext_L6,Ext_Pir,Ext_Thal_1,Ext_Thal_2,Inh_1,Inh_3,Inh_4,Inh_6,Inh_Meis2_2,Inh_Meis2_3,Inh_Pvalb,Inh_Sst,Inh_Vip,Micro,Oligo_2,OPC_1,Unk_1,res_ss
Spotx21,0,0,0,0,0,0,0,0,0,0,0,0.523155379578182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476844620421818,0,0,0.000318742331232934
Spotx22,0,0,0,0,0,0,0,0,0,0,0,0.364851660173938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635148339826062,0.00219723151874334
Spotx23,0,0,0,0,0.316069992913357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683930007086643,0.00174369805150054
Spotx24,0,0.175925208610564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437436305565332,0,0.386638485824104,0.000853651926181439
Spotx25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227645732930681,0,0,0.195976640166046,0,0,0.173693932491415,0,0,0,0,0,0,0.402683694411858,0.000147833143460675
Spotx26,0,0.543952740986066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456047259013934,0,0,0,0,0,0,0,0,0,0,0,1.1517917834629e-24
Spotx27,0,0,0,0,0.191384655724609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808615344275391,0.00360950006829671
Spotx28,0,0,0,0,0,0,0.156647902204277,0,0,0,0.241530071531269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601822026264454,3.47306569565626e-34
Spotx29,0,0,0,0,0,0,0,0,0,0,0,0.253755389673391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746244610326609,0.00421740775357171
Spotx30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000991623074997803
Spotx31,0,0,0,0.529154875562638,0,0,0,0,0,0.295440536668041,0,0,0,0,0,0,0.175404587769321,0,0,0,0,0,0,0,0,0,0,0,0.00213970757357223
Spotx32,0,0,0,0,0,0,0.251943710091156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748056289908844,0.000528684444225446
Spotx33,0,0,0,0,0.199965630933606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800034369066394,0.00192633513130438
Spotx34,0,0,0.209147257748155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258960209689359,0,0.531892532562486,5.99055198477199e-05
Spotx35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233977134989067,0,0.766022865010933,0.000422470630491646
Spotx36,0,0,0,0,0.366721004539628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633278995460372,0.00182834160164025
Spotx37,0,0,0,0,0.450129900456922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549870099543078,0.002032146551796
Spotx38,0,0,0.502545452951833,0.302471404124733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194983142923434,0.00214414368202213
Spotx39,0,0,0,0.321423242486753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678576757513247,0.0025007924987808
Spotx40,0,0,0,0.24767817735894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330686117617262,0,0.421635705023798,0.00161106031187175
Spotx41,0,0,0,0.266910650190391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733089349809609,0,0,0.00336871813514233
Spotx42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368852771999123,0,0,0,0,0,0.204694192550555,0,0.426453035450322,0.000750407452955469
Spotx43,0,0,0,0,0.153940446927825,0,0,0,0,0,0,0,0,0.224390807054504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621668746017671,0.00147235796031764
Spotx44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521879091735622,0,0.478120908264378,0.00102915785339623
Spotx45,0,0,0,0,0,0,0,0.247056790928445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752943209071555,0.00130158524301074
Spotx46,0,0,0,0,0.17711217140193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82288782859807,0.00312850661758364
Spotx47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129820419997006,0,0,0,0,0,0,0,0,0,0.620356507311715,0,0.249823072691279,0.00403751197414384
Spotx48,0,0,0,0,0,0,0,0.247171978412207,0,0,0,0.33538728908942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417440732498373,0.000423927434374638
Spotx49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239444157013931,0,0,0,0,0,0,0.760555842986069,0.000761095167980504
Spotx50,0,0,0,0,0,0,0.179855534552361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242104344141184,0.578040121306455,0,5.80066601839706e-05
Spotx51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00126636924806038
Spotx52,0,0.165694447231111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47318282863496,0,0.361122724133929,0.00062473331540296
Spotx53,0,0,0,0,0,0,0,0,0.27069815884534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72930184115466,0.000139492766872846
Spotx54,0,0,0,0,0.267137841702156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732862158297844,0.000910713672479529
Spotx55,0,0,0,0,0.375161611562066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624838388437934,0.000667645986009408
Spotx56,0,0,0,0,0.23948409307745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760515906922551,0.00038500510099102
Spotx57,0,0,0,0,0,0,0,0,0,0,0,0.209696116783567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790303883216433,0.00411296448219657
Spotx58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225794858109068,0,0,0,0,0,0.774205141890932,0.000116707821306521
Spotx59,0,0,0,0.44520941166088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189825867398835,0,0.364964720940285,0.00014994729595248
Spotx60,0,0,0,0,0.183006167773612,0,0,0,0,0,0,0,0,0.145127950051576,0.160601071636817,0,0,0,0,0,0,0,0,0,0,0,0,0.511264810537995,0.000260430982893041
Spotx61,0,0,0,0.180226499259403,0,0,0,0,0,0.184331474342055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189012510166929,0,0,0.446429516231613,0.00318703142111729
Spotx62,0,0,0,0,0.16179969464565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83820030535435,0.000671740126155164
Spotx63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368567034542205,0,0,0,0,0,0.631432965457795,0.0011636877643681
Spotx64,0,0.263195355011078,0.495272875138771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241531769850151,0,0,0,0.000151772588499061
Spotx65,0,0,0,0,0.321916459027147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678083540972853,1.77327589511289e-25
Spotx66,0,0,0,0,0,0,0,0,0,0,0,0.21842764556429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149181685000832,0,0.632390669434877,0.000343757642188553
Spotx67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00310326127195791
Spotx68,0,0,0.495747554939107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188803512799109,0,0.315448932261784,0.000529937354047314
Spotx69,0,0,0,0,0,0,0,0,0,0.332083987444515,0,0.2120912149595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264573880756445,0,0.19125091683954,0.00286824856186601
Spotx70,0,0,0,0,0,0,0.206050855009766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793949144990234,0.00120726921193028
Spotx71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648083511925956,0,0,0.200659554294088,0,0,0,0,0,0,0.151256933779956,0.00158634516717922
Spotx72,0,0,0,0.191082194179695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251783910059979,0,0.557133895760327,1.45204520879487e-28
Spotx73,0,0,0,0,0.288432359225364,0,0.194131039898938,0,0,0.206165922023165,0,0,0,0,0,0,0.177454084009783,0,0,0.133816594842751,0,0,0,0,0,0,0,0,0.00331869162735929
Spotx74,0,0,0,0,0,0,0.156353712984188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649363076718923,0,0.194283210296889,0.00121082581811058
Spotx75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000983118253653166
Spotx76,0,0,0,0.146122426955569,0.155978395979493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173170544491733,0,0.524728632573206,0.00178779732701125
Spotx77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747730536760449,0,0.252269463239551,6.8915643075191e-33
Spotx78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21507475452014,0,0.78492524547986,2.7143730874871e-24
Spotx79,0,0,0,0.228517843237825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771482156762175,0.00176369809044491
Spotx80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0016926239419267
Spotx81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00127483513667652
Spotx82,0,0,0,0,0.268390990634455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731609009365546,0.00337711679712463
Spotx83,0,0,0,0,0,0,0,0,0,0.192323213820191,0,0.271397651241488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536279134938321,0.00277188131617764
Spotx84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187401620438826,0,0,0,0,0,0.274271804189738,0,0.538326575371436,0.00249020595573113
Spotx85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00241114959433755
Spotx86,0,0,0,0.418105922272887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282401390675242,0,0.299492687051872,4.60064554239335e-05
Spotx87,0,0,0,0,0.192660540416885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807339459583115,0.00368524557368276
Spotx88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297993629543453,0,0.702006370456547,0.000268841336262885
Spotx89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255098053354384,0,0.224511277902635,0,0,0,0,0,0,0,0,0,0.520390668742981,0.00133057928379918
Spotx90,0,0,0,0.460762481261479,0.539237518738521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002010702771984
Spotx91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.05672097333858e-05
Spotx92,0,0,0,0,0.26174090596252,0,0,0,0,0,0,0,0,0,0,0,0.303806987323183,0.158189825417699,0,0,0,0,0,0,0,0,0,0.276262281296598,0.00512207885362786
Spotx93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437995385182381,0.310223538520504,0,0,0.251781076297115,0,0,0.000368649372327404
Spotx94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291748521154666,0,0,0,0,0,0,0.708251478845334,0.000560604519561427
Spotx95,0,0,0,0.386600840784194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208545209434421,0.404853949781385,0.001869559364954
Spotx96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196796118133166,0,0,0,0,0,0.803203881866834,9.94449438245905e-05
Spotx97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238369245153408,0,0,0,0.20989038502296,0,0.551740369823632,0.000449835310841919
Spotx98,0,0,0,0,0,0,0,0,0.157386411318762,0,0,0.297809459200075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241285022844175,0,0.303519106636988,8.37594663731263e-34
Spotx99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224258576445272,0.607800273746245,0.167941149808483,0,0,0,0,0,0,0,0,0,0.00402120410662379
Spotx100,0,0,0,0.217647005989635,0,0,0,0,0,0.168543302263567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18229722445336,0,0.431512467293439,0.00422106124264278
Spotx101,0,0,0,0,0.221885911408521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149527763745532,0,0,0,0.628586324845947,0.00295969398516905
Spotx102,0,0,0.300885452075755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162950576555106,0,0,0,0,0,0.536163971369138,0.000241973751451906
Spotx103,0,0,0,0.213302948645987,0,0,0,0,0,0,0,0,0,0,0.616666659515454,0.170030391838559,0,0,0,0,0,0,0,0,0,0,0,0,0.00538917843988375
Spotx104,0,0,0,0,0.32635663251992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67364336748008,2.47557063788172e-05
Spotx105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354183175241873,0,0.645816824758127,0.00121972260247606
Spotx106,0,0,0,0,0.302069430612601,0,0,0,0,0.291509542255393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406421027132006,0.00206665989211386
Spotx107,0,0,0,0,0,0,0.207362266976124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499241151189788,0,0.293396581834088,0.00137501773368199
Spotx108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736678640925839,0,0.263321359074161,4.91307531521056e-06
Spotx109,0,0,0,0,0,0,0,0,0,0,0,0.498882323314811,0,0,0,0,0.111283720751117,0,0,0,0,0,0,0,0,0,0,0.389833955934073,0.000232918291998049
Spotx110,0,0,0,0.221908158877495,0,0,0,0,0,0,0,0,0,0,0,0,0.183649349848713,0,0,0,0,0,0,0,0,0.170415177567459,0,0.424027313706333,0.000234167603156563
Spotx111,0,0,0,0,0.296040680922326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703959319077674,0.000265448265099052
Spotx112,0,0.853699640906766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146300359093235,3.04081303012741e-36
Spotx113,0,0,0,0.300563667318597,0,0,0,0,0,0.169564732416634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529871600264769,0.000358342475634432
Spotx114,0,0,0,0,0.265811929375977,0,0,0,0,0,0,0.18662310698274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547564963641283,0.000765556006152877
Spotx115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227946725690753,0.109111816761237,0,0.662941457548011,4.85791911270123e-05
Spotx116,0,0,0,0,0,0,0,0,0,0,0,0.187623564505327,0,0,0,0,0.218425878224493,0,0,0,0,0,0,0,0,0,0,0.59395055727018,0.000337209311467692
Spotx117,0,0,0,0,0,0,0.156350042266112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344537579121115,0,0.499112378612773,0.000507822302437564
Spotx118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196753890585214,0,0,0,0,0,0,0,0,0,0,0.290978701319104,0,0.512267408095682,1.29365323776366e-32
Spotx119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230555516050526,0,0,0,0,0,0,0,0,0,0,0,0,0.769444483949474,0.000938371951933952
Spotx120,0,0,0,0,0,0,0.264784616793228,0,0,0,0,0.443046035602244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292169347604528,0.000168993371880933
Spotx121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.53457129656423e-05
Spotx122,0,0,0.199025557985664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800974442014336,0.00269908583596881
Spotx123,0,0,0,0,0.169382654510403,0,0,0,0,0,0,0.162949395071163,0,0,0,0,0.167955700372722,0,0,0,0,0,0,0,0.204829404200187,0,0,0.294882845845526,0.000321882637399811
Spotx124,0,0,0,0,0.221765671114486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778234328885514,9.20173029168792e-06
Spotx125,0,0,0,0,0,0,0.330957885272247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669042114727753,7.11659744070381e-05
Spotx126,0,0,0,0,0,0,0,0,0,0,0.20473987531861,0,0,0,0,0,0,0,0,0,0,0.173818779662021,0,0.159224498929231,0,0,0,0.462216846090138,0.000301912569884621
Spotx127,0,0,0,0,0,0,0,0.290790607452939,0,0,0,0.303239095979806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405970296567255,0.000167700895860072
Spotx128,0,0,0,0,0,0,0,0,0,0.21332610706444,0,0.157449639956717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143081805709532,0.486142447269311,0.000296422251907323
Spotx129,0,0,0,0,0,0,0,0,0,0.298266165641898,0,0,0.243316578351982,0,0,0,0,0,0,0,0,0,0,0,0,0.15650721409084,0,0.30191004191528,0.00469644112032716
Spotx130,0,0,0,0,0.221192514302418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778807485697582,0.000264055813862277
Spotx131,0,0,0,0.15335042580615,0,0,0,0,0,0.165478097028463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335570436228945,0.345601040936443,0.00264258336426049
Spotx132,0,0,0,0,0.321951356646771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678048643353229,0.00110629773245363
Spotx133,0,0,0,0,0.283245002299709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716754997700291,0.00159325420408573
Spotx134,0,0,0,0,0.224347914212809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775652085787191,0.00214591170647312
Spotx135,0,0,0,0,0,0,0.383857306675696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616142693324304,6.61798857977086e-07
Spotx136,0,0,0,0,0.209675785084814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190937722911846,0,0,0,0,0,0,0,0.59938649200334,0.000165374321142533
Spotx137,0,0,0,0,0,0,0.151199683560189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186559568089316,0.662240748350496,0.00126902629327971
Spotx138,0,0,0,0.627797420756096,0,0,0,0,0,0.372202579243904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040202316936513
Spotx139,0,0,0,0.25745654601403,0,0,0,0,0,0,0,0,0,0,0,0.21448556555157,0,0,0,0,0,0,0,0,0,0,0,0.5280578884344,3.72700805920252e-29
Spotx140,0,0,0,0.245724528167065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754275471832935,3.85814425192082e-06
Spotx141,0,0,0,0,0,0,0,0.308684357535557,0,0.159469821507353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287153593308988,0,0.244692227648101,0.000927641321871964
Spotx142,0,0,0,0,0.324656973910826,0,0,0,0,0,0,0,0,0,0,0.365612528011407,0,0,0,0,0,0,0,0,0,0.309730498077767,0,0,0.0101336307199737
Spotx143,0,0,0,0,0,0,0.668473881342516,0,0,0,0,0,0,0,0.155064366637539,0.176461752019945,0,0,0,0,0,0,0,0,0,0,0,0,0.0125494791202893
Spotx144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000900122571448732
Spotx145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000156768497300916
Spotx146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303807653491171,0,0.696192346508829,0.00464382115372737
Spotx147,0,0,0,0,0.223501188660859,0,0.189295070770812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58720374056833,0.00322286016202336
Spotx148,0,0,0,0,0.26085833238679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73914166761321,0.00129680566672864
Spotx149,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000460184691897593
Spotx150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694202030690398,0,0.305797969309602,0.000702283450482301
Spotx151,0,0,0,0,0,0,0.245984980200331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754015019799669,0.00677354072345744
Spotx152,0,0.157364662074136,0.251456310494708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591179027431156,0,0,0.00037634098482578
Spotx153,0,0,0,0,0.257275977108731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742724022891269,6.36447982320416e-12
Spotx154,0,0,0,0.404473232168784,0,0,0,0,0,0,0,0,0,0,0,0,0.165207279260803,0,0,0,0,0,0,0,0,0.175936233719493,0,0.25438325485092,1.11120447281652e-06
Spotx155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373562800153079,0,0.626437199846921,0.00160778575473982
Spotx156,0,0,0,0,0.298997240399104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701002759600896,0.00033599820146596
Spotx157,0,0,0,0,0.353972665651829,0,0.270288071031029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375739263317142,0.000426161707957059
