,Inh_4,Oligo_2,Ext_Hpc_4,Inh_Meis2_4,Inh_Vip,Ext_Pir,Ext_L5_1,Ext_Thal_1,LowQ_2,Micro,Inh_Meis2_3,Astro_3,Ext_L23,Inh_6,Inh_3,Inh_Pvalb,OPC_1,Astro_0,Inh_5,Inh_Sst,Ext_L25,OPC_2,Ext_Hpc_1,Unk_1,Ext_L5_2,Ext_Hpc_3,Ext_L56,Ext_ClauPyr,Astro_2,Ext_Hpc_2,Ext_Amy_2,Ext_L6,Inh_Lamp5,Inh_2,Inh_1,Ext_Thal_2,Ext_Amy_1,Inh_Meis2_1,Nb_2,Astro_4,Astro_1,Inh_Meis2_2,Ext_L6B,Ext_Unk_3,Oligo_1,Nb_1
Spotx24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15607.0,0.0,0.0,0.0,0.0,0.0,0.0,13985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8980.0,0.0,0.0
Spotx25,0.0,0.0,0.0,0.0,0.0,0.0,6713.0,0.0,0.0,0.0,0.0,0.0,0.0,4114.0,0.0,0.0,0.0,0.0,0.0,0.0,3897.0,0.0,0.0,0.0,0.0,0.0,4621.0,9072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9927.0,7891.0,0.0
Spotx26,0.0,0.0,4938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22885.0,0.0,0.0,0.0,0.0,0.0,0.0,11694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6873.0,0.0,0.0,0.0
Spotx27,0.0,0.0,0.0,0.0,11369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62579.0,30333.0,0.0,0.0,0.0,0.0,0.0,0.0,7792.0,0.0,0.0,23913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9033.0,0.0,0.0,4463.0
Spotx29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16521.0,0.0,0.0,2208.0,0.0
Spotx30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8782.0,0.0,0.0,0.0,0.0,0.0,3840.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,0.0,5158.0,0.0,0.0,0.0,0.0,6863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6111.0,0.0,0.0,0.0
Spotx31,0.0,0.0,14657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19370.0,0.0,0.0,0.0,5935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6340.0,41766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26527.0,0.0,0.0
Spotx33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15442.0,0.0,0.0,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33507.0,3561.0,6218.0,0.0,0.0,0.0,0.0,5452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5164.0,0.0
Spotx36,0.0,0.0,17471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29840.0,0.0,0.0,0.0,0.0,0.0,0.0,7735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25600.0,0.0,0.0,0.0,0.0,0.0,15473.0,0.0,0.0,0.0
Spotx37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6844.0,0.0,14818.0,0.0,0.0,0.0,66049.0,0.0,0.0,8333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914.0,0.0,0.0,4101.0,0.0,0.0,0.0,0.0
Spotx40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6981.0,0.0,0.0,0.0,54253.0,0.0,0.0,6278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12719.0,0.0,0.0,0.0,0.0
Spotx41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx42,0.0,0.0,0.0,0.0,0.0,0.0,8896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11261.0,1318.0,0.0,0.0,0.0,0.0,0.0,0.0,2096.0
Spotx43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1823.0,0.0,0.0,7937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4322.0,0.0,7822.0,0.0,6411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24215.0,4426.0,0.0,0.0,0.0,0.0,0.0,0.0,9072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10442.0,0.0,0.0,1285.0,0.0,0.0,20829.0,0.0,0.0,0.0,0.0
Spotx46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9211.0,0.0,0.0
Spotx48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6245.0,0.0,8531.0,0.0,6752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx49,0.0,0.0,0.0,0.0,0.0,11653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3543.0,8186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11694.0,0.0,0.0,6052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6001.0,0.0,0.0,0.0,0.0,14851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34083.0,0.0,0.0,0.0
Spotx55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8483.0,0.0,0.0,6742.0,0.0,0.0,0.0,0.0,4561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx56,0.0,1742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx57,0.0,0.0,3665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14022.0,0.0,17670.0,0.0,26375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9769.0,0.0
Spotx59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3457.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17672.0,3823.0,0.0
Spotx62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8955.0,17385.0,0.0,0.0,3911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7314.0,0.0,4457.0
Spotx63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.0,0.0,0.0,0.0,0.0,0.0,2115.0,0.0
Spotx64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9755.0,0.0,0.0,0.0,0.0,2916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9849.0,0.0,0.0,0.0,6142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14990.0,0.0,0.0,0.0,0.0,0.0,6625.0,0.0,0.0,0.0,0.0,0.0,0.0,8138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4668.0,0.0,0.0,0.0,0.0,0.0,24458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3360.0,0.0,0.0,0.0,0.0,0.0,8330.0,0.0,0.0,0.0,0.0,4104.0,0.0,0.0,4116.0,0.0,0.0,0.0,0.0
Spotx68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.0,0.0,0.0,7999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
