,Astro_3,Ext_L25,Ext_L6,Oligo_2,Ext_Hpc_1,Inh_Meis2_4,Nb_2,Ext_L23,Inh_Pvalb,Inh_Vip,Ext_L5_1,Inh_4,Ext_Thal_1,Inh_Meis2_3,Ext_Hpc_2,Inh_6,Inh_3,OPC_1,Micro,Ext_Pir,Astro_0,Unk_1,Ext_Hpc_3,Ext_Amy_2,Inh_Lamp5,Inh_2,Ext_Unk_3,Ext_Hpc_4,Ext_L6B,Astro_2,LowQ_2,Ext_Thal_2,Inh_Sst,Ext_Amy_1,Inh_1,Ext_L5_2,Ext_L56,Inh_5,Ext_ClauPyr,Oligo_1,Astro_4,Astro_1,Inh_Meis2_2,Nb_1,Inh_Meis2_1,OPC_2
Spotx14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28470.0,0.0,0.0,6126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4690.0,0.0
Spotx16,0.0,0.0,3170.0,0.0,0.0,0.0,0.0,0.0,5914.0,0.0,0.0,0.0,0.0,12512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20976.0,0.0,0.0,2370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10884.0,0.0
Spotx17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4588.0,0.0,0.0,0.0,0.0,26557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51412.0,0.0,0.0,2414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3119.0,0.0
Spotx18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15690.0,0.0,0.0,0.0,0.0,5701.0,0.0,0.0,0.0,0.0,0.0,0.0,3733.0,0.0,0.0,0.0,0.0,0.0,28638.0,0.0,28737.0,6914.0,0.0,0.0,0.0,0.0,3753.0,0.0,0.0,0.0,0.0,0.0,3167.0,7017.0,0.0,0.0,2500.0,0.0
Spotx19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31033.0,0.0,0.0,6315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6010.0,0.0,0.0,0.0,0.0,0.0,0.0,4939.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0,0.0,0.0,0.0,0.0,0.0
Spotx20,0.0,5605.0,0.0,0.0,0.0,0.0,0.0,0.0,13379.0,0.0,0.0,0.0,0.0,21121.0,0.0,0.0,0.0,0.0,0.0,0.0,2361.0,0.0,0.0,0.0,0.0,0.0,35691.0,0.0,0.0,5831.0,6942.0,0.0,0.0,0.0,4794.0,0.0,0.0,20393.0,0.0,0.0,0.0,0.0,0.0,0.0,4482.0,0.0
Spotx21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28656.0,0.0,0.0,0.0,0.0,19286.0,0.0,0.0,0.0,0.0,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30465.0,0.0,0.0,5794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5215.0,0.0,0.0,2421.0,0.0
Spotx22,0.0,0.0,0.0,0.0,12653.0,27749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7401.0,0.0,11440.0,0.0,0.0,0.0,5212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4210.0,0.0,0.0,0.0,5587.0,0.0
Spotx23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.0,0.0,0.0,0.0,0.0,4712.0,0.0,3990.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,3065.0,0.0
Spotx24,0.0,4177.0,0.0,0.0,0.0,0.0,0.0,0.0,10112.0,0.0,0.0,0.0,0.0,10767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7578.0,0.0,0.0,16455.0,0.0,0.0,3203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.0,0.0,0.0,0.0,0.0,0.0
Spotx25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18339.0,0.0,0.0,0.0,0.0,4458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2060.0,0.0,0.0,0.0,0.0,0.0
Spotx26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48883.0,0.0,0.0,0.0,0.0,0.0,16607.0,0.0,0.0,0.0,0.0,0.0,0.0,3096.0,0.0,0.0,0.0,0.0,0.0,28053.0,0.0,0.0,10733.0,0.0,0.0,0.0,0.0,4511.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0
Spotx27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50021.0,0.0,0.0,9756.0,0.0,0.0,0.0,8476.0,2541.0,16284.0,3534.0,0.0,0.0,0.0,0.0,0.0,25008.0,0.0,27563.0,0.0,0.0,0.0,0.0,0.0,6762.0,0.0,0.0,0.0,0.0,0.0,2263.0,0.0,0.0,0.0,0.0,0.0
Spotx28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6288.0,0.0,0.0,18873.0,0.0,0.0,0.0,4114.0,0.0,7538.0,0.0,0.0,4282.0,0.0,0.0,0.0,0.0,8488.0,17954.0,0.0,0.0,4561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx29,0.0,0.0,10470.0,0.0,0.0,4890.0,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3031.0,10715.0,0.0,0.0,0.0,0.0,11596.0,0.0,0.0,0.0,0.0,1771.0,0.0,0.0,0.0,5573.0,0.0
Spotx30,0.0,0.0,20674.0,0.0,0.0,0.0,0.0,0.0,5510.0,0.0,0.0,0.0,0.0,8224.0,29081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9337.0,41088.0,0.0,0.0,3066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0
Spotx31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12080.0,0.0,0.0,0.0,0.0,0.0,0.0,1940.0,0.0,0.0,0.0,0.0,0.0,11877.0,0.0,0.0,2661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6315.0,0.0,0.0,0.0,0.0,0.0,3598.0,0.0
Spotx32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6634.0,0.0,0.0,0.0,0.0,15947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3507.0,0.0
Spotx33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6133.0,0.0,0.0,0.0,0.0,11104.0,15418.0,0.0,0.0,0.0,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35919.0,2672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1872.0,0.0,0.0,0.0,0.0,0.0
Spotx34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32436.0,5634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3132.0,0.0
Spotx35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6487.0,0.0,0.0,0.0,0.0,10599.0,0.0,0.0,0.0,0.0,1701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40996.0,0.0,0.0,0.0,0.0,0.0,0.0,9217.0,0.0,0.0,0.0,0.0,0.0,0.0,2896.0,0.0,0.0,0.0,0.0,0.0
Spotx36,0.0,5649.0,0.0,0.0,0.0,0.0,0.0,0.0,7593.0,0.0,0.0,5783.0,0.0,9452.0,0.0,0.0,0.0,0.0,2360.0,0.0,4676.0,0.0,0.0,0.0,0.0,0.0,14013.0,0.0,24733.0,6397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6475.0,3999.0
Spotx37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9801.0,0.0,0.0,0.0,0.0,6832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9152.0,5788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0
Spotx38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9136.0,0.0,0.0,5832.0,0.0,0.0,0.0,0.0,0.0,5957.0,0.0,13729.0,0.0,0.0,7357.0,0.0,0.0,0.0,0.0,0.0,31386.0,0.0,0.0,0.0,0.0,3928.0,0.0,0.0,0.0,0.0,0.0
Spotx39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5963.0,0.0,10511.0,0.0,0.0,11511.0,0.0,0.0,0.0,8951.0,0.0,0.0,0.0,2627.0,0.0,0.0,0.0,0.0,31685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.0,0.0,0.0,0.0,0.0,0.0
Spotx41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17311.0,0.0,0.0,3586.0,0.0,29496.0,0.0,0.0,0.0,0.0,0.0,6677.0,1970.0,0.0,0.0,0.0,0.0,6838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11845.0,0.0
Spotx42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14755.0,0.0
Spotx43,2703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,23832.0,0.0,58152.0,5203.0,0.0,0.0,0.0,0.0,5369.0,0.0,0.0,0.0,0.0,0.0,3143.0,6691.0,0.0,0.0,5296.0,0.0
Spotx44,2371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10056.0,0.0,0.0,0.0,0.0,0.0,0.0,18396.0,0.0,0.0,0.0,0.0,1737.0,0.0,0.0,0.0,0.0,0.0,22824.0,0.0,0.0,2881.0,0.0,9335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873.0,0.0,0.0,0.0,0.0,0.0
Spotx45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4579.0,0.0,0.0,0.0,0.0,42574.0,0.0,0.0,27407.0,0.0,2006.0,0.0,2157.0,0.0,0.0,0.0,0.0,0.0,39175.0,0.0,0.0,10363.0,0.0,0.0,0.0,0.0,3124.0,0.0,0.0,0.0,18657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx46,0.0,0.0,0.0,0.0,6071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15642.0,0.0,0.0,2467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.0,0.0,0.0,0.0,0.0,0.0
Spotx47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4299.0,0.0,0.0,0.0,0.0,17315.0,0.0,0.0,0.0,8387.0,0.0,0.0,0.0,5565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7226.0,0.0,0.0,2394.0,0.0,0.0,0.0,5361.0,0.0
Spotx48,0.0,0.0,0.0,0.0,16494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.0,11059.0,0.0,0.0,0.0,0.0,0.0,0.0,32713.0,0.0,0.0,6519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299.0,5699.0,0.0,0.0,0.0,0.0
Spotx49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8951.0,0.0,40045.0,0.0,0.0,31859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3530.0,0.0
Spotx50,0.0,0.0,10384.0,0.0,0.0,6545.0,0.0,19306.0,9431.0,0.0,0.0,0.0,0.0,14666.0,0.0,0.0,0.0,0.0,0.0,0.0,3738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15125.0,2532.0,0.0,0.0,0.0,20350.0,0.0,0.0,0.0,8115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx51,0.0,0.0,0.0,0.0,0.0,0.0,1077.0,0.0,14307.0,0.0,0.0,0.0,0.0,24147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16242.0,0.0,0.0,8487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4658.0,0.0,0.0,0.0,11552.0,0.0
Spotx52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19335.0,3760.0,0.0,0.0,0.0,0.0,27162.0,0.0,0.0,0.0,0.0,0.0,0.0,1913.0,0.0,0.0,0.0,0.0,0.0,33588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.0,0.0,0.0,0.0,0.0,0.0,1921.0,0.0,0.0,0.0,0.0,10398.0
Spotx53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9246.0,0.0,0.0,0.0,0.0,10208.0,0.0,17199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4294.0,0.0,0.0,0.0,0.0,21019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49368.0,0.0,0.0,5582.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.0,0.0,0.0,0.0,3808.0,0.0,3276.0,0.0,3691.0,0.0
Spotx56,0.0,5633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36545.0,0.0,0.0,5700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48134.0,0.0,0.0,30287.0,25903.0,0.0,0.0,0.0,0.0,0.0,2161.0,0.0,0.0,8730.0,0.0,0.0,28713.0,0.0,0.0,2428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,3518.0,0.0,0.0,0.0,0.0
Spotx58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11739.0,0.0,0.0,0.0,0.0,25482.0,0.0,0.0,0.0,0.0,0.0,0.0,2343.0,3583.0,0.0,0.0,0.0,0.0,37432.0,0.0,0.0,2469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2076.0,0.0,0.0,0.0,0.0,15243.0
Spotx59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1716.0,0.0,0.0,2054.0,3065.0,0.0
Spotx60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17281.0,0.0,0.0,5806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4457.0,0.0,0.0,0.0,0.0
Spotx61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38525.0,0.0,0.0,2828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx62,0.0,0.0,0.0,0.0,15121.0,0.0,3405.0,0.0,0.0,0.0,0.0,0.0,0.0,30622.0,0.0,0.0,0.0,0.0,0.0,19282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1872.0,0.0,0.0,0.0,11273.0,0.0
Spotx63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9625.0,0.0,0.0,0.0,0.0,0.0,23387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3691.0,0.0
Spotx64,0.0,4515.0,0.0,0.0,0.0,0.0,0.0,0.0,14155.0,0.0,0.0,0.0,0.0,15451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7537.0,0.0
Spotx65,0.0,6200.0,0.0,0.0,0.0,0.0,0.0,0.0,28302.0,0.0,0.0,0.0,0.0,11285.0,0.0,0.0,0.0,0.0,0.0,20288.0,0.0,8194.0,0.0,0.0,0.0,0.0,42392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3949.0,0.0,0.0,0.0,0.0,0.0,1885.0,0.0,0.0,0.0,3598.0,0.0
Spotx66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22041.0,14157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7121.0,0.0
Spotx67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14884.0,0.0,0.0,0.0,0.0,11432.0,0.0,0.0,0.0,3765.0,5028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11350.0,0.0,0.0,0.0,0.0,10321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
